AssetID,Hostname,IP,OS,LastScannedAt,IsStale,LastSeenAt
176857,DSPWP001-101022,10.101.22.10,,NULL,1,2026-03-12 16:07:09.2266667
176858,DSPWP016-101028,10.101.28.34,,NULL,1,2026-03-12 16:07:09.2100000
176859,XASWP001-101018,10.101.18.9,,NULL,1,2026-03-12 16:07:09.1733333
176860,DSPWP007-101040,10.101.40.21,,NULL,1,2026-03-12 16:07:09.1933333
176861,DSPWP004-101040,10.101.40.14,,NULL,1,2026-03-12 16:07:09.4033333
176862,XASWP003-101028,10.101.28.17,,NULL,1,2026-03-12 16:07:09.3466667
176863,DSPWP002-101040,10.101.40.13,,NULL,1,2026-03-12 16:07:09.3300000
176864,XASWP003-101018,10.101.18.8,,NULL,1,2026-03-12 16:07:09.3166667
176865,DSPWP001-101042,10.101.42.7,,NULL,1,2026-03-12 16:07:09.4166667
176866,XASWP006-101042,10.101.42.11,,NULL,1,2026-03-12 16:07:09.3766667
176867,XASWP007-101042,10.101.42.14,,NULL,1,2026-03-12 16:07:09.3900000
176868,XASWP006-101020,10.101.20.14,,NULL,1,2026-03-12 16:07:09.3600000
176869,XASWP006-101042,10.101.42.11,,NULL,1,2026-03-16 00:26:24.6666667
176870,XASWP006-101030,10.101.30.14,,NULL,1,2026-03-12 16:07:09.4766667
176871,DSPWP001-101046,10.101.46.5,,NULL,1,2026-03-12 16:07:09.4466667
176872,XASWP006-101046,10.101.46.12,,NULL,1,2026-03-12 16:07:09.4600000
176873,XASWP010-101042,10.101.42.12,,NULL,1,2026-03-12 16:07:09.4333333
176874,XASWP009-101042,10.101.42.13,,NULL,1,2026-03-12 16:07:09.5066667
176875,XASWP002-101028,10.101.28.21,,NULL,1,2026-03-12 16:07:09.4900000
176876,DSPWP001-101024,10.101.24.4,,NULL,1,2026-03-12 16:07:09.5333333
176877,XASWP006-101024,10.101.24.10,,NULL,1,2026-03-12 16:07:09.5600000
176878,DSPWP002-101042,10.101.42.8,,NULL,1,2026-03-12 16:07:09.6166667
176879,DSPWP002-101030,10.101.30.5,,NULL,1,2026-03-12 16:07:09.5200000
176880,DSPWP001-101030,10.101.30.4,,NULL,1,2026-03-12 16:07:09.5466667
176881,DSPWP001-101020,10.101.20.6,,NULL,1,2026-03-12 16:07:09.6900000
176882,XASWP013-101042,10.101.42.15,,NULL,1,2026-03-12 16:07:09.6633333
176883,DSPWP016-101062,10.101.62.31,,NULL,1,2026-03-12 16:07:09.6766667
176884,XASWP004-101062,10.101.62.5,,NULL,1,2026-03-22 08:03:59.1966667
176885,XASWP003-101062,10.101.62.4,,NULL,1,2026-03-03 16:20:27.0133333
176886,DSPWP006-101062,10.101.62.20,,NULL,1,2026-03-12 16:07:09.6300000
176887,XASWP007-101062,10.101.62.15,,NULL,1,2026-03-03 16:20:27.1000000
176888,XASWP001-101062,10.101.62.6,,NULL,1,2026-03-12 16:07:09.6466667
